Time,CO2%,removal frac at t,Average removal between t-t1,Avg CO2 at outlet,CO2 loading increment between t-t1,grams of CO2 added ,Cumulative CO2,Moles of CO2 in the solution,CO2 concentration in mol/kg solution,Moles of NH3 reacted (considering ABC as mainproduct),moles of NH3 unused,moles of NH3 unreacted (new calc.),CO2 MASS FLOW RATE,Ammonia %,Ammonia% (new calculation),Mass transfer coefficient,inert gas flow rate (kmol/m2/h),cross sectional area (m2),pressure (kpa),height of packed bed (m),mole ratio at inlet,mole ratio at outlet,(Y1-Y2)+LN(Y1/Y2),ln (ammonia %),ln (mass transfer coefficient),ln (new ammonia %),
0,20.1,0,0,0,0,0,0,0,0,0,51.3799177921315,51.3799177921315,4.73785714285714,12.5,12.5,0,13.1028207461328,0.0019625,101.325,0.5,0.251564455569462,0.251564455569462,0,,,,
10,1.4,0.930348258706468,0.930348258706468,1.4,0.930348258706468,44.0785714285714,44.0785714285714,1.00178571428571,0.157266203184571,1.00178571428571,50.3781320778458,49.3763463635601,,12.2562798469388,12.0125596938776,0.804831608168829,,,,,,0.0141987829614604,3.11190865988818,2.50603844620188,-0.217122205844233,2.48595274359749,-0.217122205844233
20,2.5,0.875621890547264,0.902985074626866,1.95,0.902985074626866,42.7821428571429,86.8607142857143,1.97410714285714,0.309906929804889,1.97410714285714,49.4058106492744,47.4317035064172,,12.0197279336735,11.5394558673469,0.649012560861627,,,,,,0.0256410256410256,2.50942903835088,2.48654929438114,-0.432303208287175,2.44577210809192,-0.432303208287175
30,2.9,0.855721393034826,0.865671641791045,2.7,0.865671641791045,41.0142857142857,127.875,2.90625,0.456240188383046,2.90625,48.4736677921315,45.5674177921315,,11.7929508928571,11.0859017857143,0.608470797747466,,,,,,0.0298661174047374,2.35267293876238,2.46750197100666,-0.496806358260837,2.40567419165062,-0.496806358260837
40,3.5,0.825870646766169,0.840796019900498,3.2,0.840796019900498,39.8357142857143,167.710714285714,3.81160714285714,0.598368468266427,3.81160714285714,47.5683106492744,43.7567035064173,,11.5726904336735,10.6453808673469,0.556575762382361,,,,,,0.0362694300518135,2.15201902766002,2.44864804949526,-0.585951976684054,2.36512607669524,-0.585951976684054
50,4,0.800995024875622,0.813432835820895,3.75,0.813432835820895,38.5392857142857,206.25,4.6875,0.735871271585557,4.6875,46.6924177921315,42.0049177921315,,11.3595982142857,10.2191964285714,0.519301177042531,,,,,,0.0416666666666667,2.00789558154354,2.43006304420676,-0.655271261539919,2.32426795434292,-0.655271261539919
60,4.6,0.771144278606965,0.786069651741293,4.3,0.786069651741293,37.2428571428571,243.492857142857,5.53392857142857,0.868748598340435,5.53392857142857,45.845989220703,40.3120606492744,,11.1536742346939,9.80734846938775,0.479838722082317,,,,,,0.0482180293501048,1.85531266347135,2.41176897139901,-0.734305227201229,2.28313194849919,-0.734305227201229
70,5.3,0.736318407960199,0.753731343283582,4.95,0.753731343283582,35.7107142857143,279.203571428571,6.34553571428571,1.03305424733996,6.34553571428571,43.3970253199636,37.2491299118003,,10.9489087585034,9.3978175170068,0.439295103179949,,,,,,0.0559662090813094,1.69854938841491,2.39323979453876,-0.822583874932667,2.2404774832764,-0.822583874932667
80,6,0.701492537313433,0.718905472636816,5.65,0.718905472636816,34.0607142857143,313.264285714286,7.11964285714286,1.15907901622187,7.11964285714286,42.6229181771064,35.700915626086,,10.753604393424,9.00720878684807,0.403258836590794,,,,,,0.0638297872340425,1.55921394367017,2.37524099078727,-0.90817664878655,2.19802523304233,-0.90817664878655
90,6.4,0.681592039800995,0.691542288557214,6.2,0.691542288557214,32.7642857142857,346.028571428571,7.86428571428572,1.28030699459271,7.86428571428572,41.8782753199636,34.2116299118003,,10.5657337585034,8.6314675170068,0.384288564033369,,,,,,0.0683760683760684,1.48586474260412,2.35761610047873,-0.956361539768846,2.15541453895936,-0.956361539768846
100,6.9,0.656716417910448,0.669154228855721,6.65,0.669154228855721,31.7035714285714,377.732142857143,8.58482142857143,1.39761032618175,8.58482142857143,41.1577396056778,32.7705584832289,,10.3839452664399,8.26789053287982,0.361964329619187,,,,,,0.0741138560687433,1.39954733447333,2.34026088899637,-1.01620960897502,2.11237940187699,-1.01620960897502
