,,Time,CO2 (%),Removal fraction at t,Avg. removal between t-t1,Avg. at outlet,CO2 loading increment in t-t1,g of CO2 added,Cumulative CO2,Moles of CO2 in ammonia solution,CO2 concentration in mol/kg solution,Moles of NH3 reacted,Moles 0f NH3 unreacted ,moles of unreacted ammonia (new calc.),Ammonia % (new calc.),Ammonia%,,,,Ammonia% at t,Mass transfer coefficient,ammonia frac.,Mass transfer coefficient,GB (inert gas flow rate (kmol/m2/h),pressure (kpa),height of packed bed,inlet mole ratio (Y1),outlet mole ratio (Y2),(Y1-Y2)+LN(Y1/Y2),Cross-sectional area,ln (ammonia %),ln (mass transfer coefficient),ln (ammonia frac),ln (mass transfer coefficient),Ln (kmol/m3),ln (mass transfer coefficient),Ln(ammonia %) new calc.,
Time ,Readings,0,20.1,0,0,,0,0,0,0,0,0,41.1039342337052,41.1039342337052,10,700,Flow rate (gas),12,lpm,10,0,,,13.1028207461328,101.325,0.5,0.25,0,0,0.0019625,,,,,1.77195684193188,,2.30258509299405,
0,1,5,1,95.0248756218906,95.0248756218906,1,0.950248756218906,22.3987206823028,22.3987206823028,0.509061833688699,0.0799155154927315,0.509061833688699,40.5948724000165,40.0858105663278,9.7523050563509,16.6666666666667,Mas flow rate,4.71428571428572,g /min,9.87615252817545,0.89194213964977,0.0987615252817545,0.89194213964977,,,,,0.0101010101010101,3.44872447891369,,2.29012301569087,-0.114354014369495,-2.31504717029722,-0.114354014369495,1.7594947646287,-0.114354014369495,2.27750367310388,-0.114354014369495
16,3.6,16,3.6,82.089552238806,88.5572139303483,2.3,0.885,45.8935714285714,68.2922921108742,1.55209754797441,0.243657385867255,1.55209754797441,39.5518366857308,37.9997391377564,9.24479367879988,10,,,,9.62239683939994,0.546725743631152,0.0962239683939994,0.546725743631152,,,,,0.037344398340249,2.1139335966943,,2.26409338534926,-0.603807985052925,-2.34107680063883,-0.603807985052925,1.73346513428709,-0.603807985052925,2.22406054753218,-0.603807985052925
32,4.4,32,4.4,78.1094527363184,80.0995024875622,4,0.8,60.3428571428572,128.635149253731,2.92352611940299,0.458952295039715,2.92352611940299,38.1804081143022,35.2568819948993,8.5774957196162,,,,,9.2887478598081,0.490426021064654,0.092887478598081,0.490426021064654,,,,,0.0460251046025105,1.89624881341074,,2.22880376008264,-0.712480834869255,-2.37636642590545,-0.712480834869255,1.69817550902047,-0.712480834869255,2.14914199672571,-0.712480834869255
47,5.6,47,5.6,72.1393034825871,75.1243781094527,5,0.75,53.0357142857143,181.670863539446,4.12888326226013,0.648176336304573,4.12888326226013,36.9750509714451,32.846167709185,7.99100337267743,,,,,8.99550168633872,0.421348458810606,0.0899550168633872,0.421348458810606,,,,,0.0593220338983051,1.62915808039216,,2.19672463975922,-0.864295094511996,-2.40844554622887,-0.864295094511996,1.66609638869705,-0.864295094511996,2.07831633045173,-0.864295094511996
59,6.7,59,6.7,66.6666666666667,69.4029850746269,6.15,0.6925,39.1757142857143,220.84657782516,5.01924040511727,0.787949828118881,5.01924040511727,36.084693828588,31.0654534234707,7.55778102573865,,,,,8.77889051286933,0.36870409335736,0.0877889051286933,0.36870409335736,,,,,0.0718113612004287,1.42560685913606,,2.17235003438542,-0.997760871668164,-2.43282015160267,-0.997760871668164,1.64172178332325,-0.997760871668164,2.02257763199351,-0.997760871668164
73,7.4,73,7.4,63.1840796019901,64.9253731343284,7.05,0.6475,42.735,263.58157782516,5.99049040511727,0.975252813205905,5.99049040511727,33.8247047632812,28.013472944061,7.0676954701831,,,,,8.53384773509155,0.338960221956504,0.0853384773509155,0.338960221956504,,,,,0.0799136069114471,1.31060117341067,,2.14404034245659,-1.08187251784783,-2.4611298435315,-1.08187251784783,1.61341209139442,-1.08187251784783,1.9555344678166,-1.08187251784783
85,8,85,8,60.1990049751244,61.6915422885572,7.7,0.615,34.7914285714286,298.373006396589,6.78120469083156,1.10398122764861,6.78120469083156,33.033990477567,26.4320443726324,6.66870689875453,,,,,8.33435344937726,0.315294317466394,0.0833435344937726,0.315294317466394,,,,,0.0869565217391304,1.21909615251018,,2.12038594263339,-1.15424873521835,-2.4847842433547,-1.15424873521835,1.58975769157122,-1.15424873521835,1.89742597287996,-1.15424873521835
97,8.7,97,8.7,56.7164179104478,58.4577114427861,8.35,0.5825,32.9528571428571,331.325863539446,7.53013326226013,1.22590692100287,7.53013326226013,32.2850619061384,24.9341872297753,6.29080308923072,,,,,8.14540154461536,0.289469377772967,0.0814540154461536,0.289469377772967,,,,,0.0952902519167579,1.11924314890374,,2.09745354036189,-1.23970576382297,-2.5077166456262,-1.23970576382297,1.56682528929972,-1.23970576382297,1.83908873970551,-1.23970576382297
110,9.4,110,9.4,53.2338308457712,54.9751243781095,9.05,0.5475,33.5539285714286,364.879792110874,8.29272254797442,1.35005658086682,8.29272254797442,31.5224726204241,23.4090086583467,5.90600618446881,,,,,7.95300309223441,0.26527568151663,0.0795300309223441,0.26527568151663,,,,,0.103752759381898,1.02569740327119,,2.0735496047885,-1.32698568613096,-2.53162058119959,-1.32698568613096,1.54292135372633,-1.32698568613096,1.77596983047134,-1.32698568613096
123,10.2,123,10.2,49.2537313432836,51.2437810945274,9.8,0.51,31.2557142857143,396.135506396589,9.00307969083156,1.46570283937022,9.00307969083156,30.8121154775669,21.9882943726324,5.54756523208786,,,,,7.77378261604393,0.23931437889738,0.0777378261604393,0.23931437889738,,,,,0.11358574610245,0.925317147795588,,2.05075686909128,-1.42997719854586,-2.55441331689681,-1.42997719854586,1.52012861802911,-1.42997719854586,1.71335913458159,-1.42997719854586
137,10.8,137,10.8,46.2686567164179,47.7611940298508,10.5,0.475,31.35,427.485506396589,9.71557969083156,1.64253249211015,9.71557969083156,28.9584260154348,20.461413099572,5.36089023208786,,,,,7.58710761604393,0.220860425218259,0.0758710761604393,0.220860425218259,,,,,0.121076233183857,0.853964311152042,,2.02645044052369,-1.51022433708085,-2.5787197454644,-1.51022433708085,1.49582218946152,-1.51022433708085,1.67913004936771,-1.51022433708085
151,12.3,151,12.3,38.8059701492537,42.5373134328358,11.55,0.4225,27.885,455.370506396589,10.3493296908316,1.74967534925301,10.3493296908316,28.3246760154348,19.827663099572,5.19484773208786,,,,,7.42106511604393,0.177879580687123,0.0742106511604393,0.177879580687123,,,,,0.140250855188141,0.687777420691734,,2.0043225935141,-1.72664847062192,-2.60084759247399,-1.72664847062192,1.47369434245193,-1.72664847062192,1.64766731364769,-1.72664847062192
165,13.4,165,13.4,33.3333333333333,36.0696517412935,12.85,0.3575,23.595,478.965506396589,10.8855796908316,1.84033468991235,10.8855796908316,27.7884260154348,19.291413099572,5.05435023208786,,,,,7.28056761604393,0.148716229598386,0.0728056761604393,0.148716229598386,,,,,0.15473441108545,0.575016336406183,,1.98520882840596,-1.90571528824114,-2.61996135758214,-1.90571528824114,1.45458057734379,-1.90571528824114,1.62024930456419,-1.90571528824114
181,15.2,181,15.2,24.3781094527363,28.8557213930348,14.3,0.285,21.4971428571429,500.462649253732,11.374151119403,1.92293340987371,11.374151119403,27.2998545868634,18.8028416710005,4.92634451780214,,,,,7.15256190175821,0.104346809319176,0.0715256190175821,0.104346809319176,,,,,0.179245283018868,0.403460470806868,,1.96747060046717,-2.26003522264729,-2.63769958552092,-2.26003522264729,1.436842349405,-2.26003522264729,1.59459723590524,-2.26003522264729
193,15.6,193,15.6,22.3880597014925,23.3830845771144,15.4,0.23,13.0114285714286,513.47407782516,11.6698654051173,2.05184446683381,11.6698654051173,25.9541458939621,17.7839411671709,4.84576828923072,,,,,7.07198567318679,0.0949605038652673,0.0707198567318679,0.0949605038652673,,,,,0.184834123222749,0.367168003003781,,1.95614129948301,-2.35429422261574,-2.64902888650509,-2.35429422261574,1.42551304842084,-2.35429422261574,1.57810580639989,-2.35429422261574
