time (min),%CO2 at exit,Removal efficiency at t,Avg. %CO2 btw. t-t1,CO2 loading increment in t-t1,gram of CO2 added,CO2 mass flow rate,cumulative CO2,moles of CO2 in ammonia solution,CO2 concentration in mol/kg solution,CO2 concentration in mol/kg NH3,inlet mole ratio (Y1),outlet mole ratio,(Y1-Y2)+Ln(Y1/Y2),cross-sectional area,height of packed bed (m),pressure P (kpa),inert gas flow rate (kmol/m2/hr),mass transfer coeff. (KGav),moles of ammonia reacted (assuming ABC),total number of moles in solution,moles of ammonia unreacted,moles of ammonia unreacted (new calc.), Ammonia % at t,Ammonia % (new calc.),Ln(ammonia%),ln(mass transfer coeff),Ln (new ammonia%),
0,20.1,0,,0,0,2.76375,0,0,0,0,0.251564455569462,0.251564455569462,,0.0019625,0.5,101.325,7.6413652572593,,0,23.4879624192601,23.4879624192601,23.4879624192601,10,10,2.30258509299405,,,
14,0.1,99.502487562189,0.1,0.99502487562189,38.5,,38.5,0.875,0.240384615384615,2.40384615384615,,0.001001001001001,5.77726219550982,,,,,0.871377658482039,0.875,,22.6129624192601,21.7379624192601,9.62746875,9.2549375,2.26462034079151,-0.137679804275579,2.22515719289623,-0.137679804275579
26,0.1,99.502487562189,0.1,0.99502487562189,33,,71.5,1.625,0.446428571428571,4.46428571428571,,0.001001001001001,5.77726219550982,,,,,0.871377658482039,1.625,,21.8629624192601,20.2379624192601,9.30815625,8.6163125,2.2308910319343,-0.137679804275579,2.15365720892709,-0.137679804275579
37,0.2,99.0049751243781,0.15,0.992537313432836,30.174375,,101.674375,2.31078125,0.634830013736264,6.34830013736264,,0.00200400801603206,5.08211050559775,,,,,0.766528747121187,2.31078125,,21.1771811692601,18.8663999192601,9.0161848828125,8.032369765625,2.1990212826067,-0.265883076975384,2.08347959844662,-0.265883076975384
49,0.2,99.0049751243781,0.2,0.990049751243781,32.835,,134.509375,3.05703125,0.83984375,8.3984375,,0.00200400801603206,5.08211050559775,,,,,0.766528747121187,3.05703125,,20.4309311692601,17.3738999192601,8.6984689453125,7.396937890625,2.16314702687625,-0.265883076975384,2.00106611600768,-0.265883076975384
61,0.3,98.5074626865672,0.25,0.987562189054726,32.7525,,167.261875,3.80140625,1.04434237637363,10.4434237637363,,0.00300902708124373,4.67463787207475,,,,,0.705070129305512,3.80140625,,19.6865561692601,15.8851499192601,8.3815512890625,6.763102578125,2.12603301538832,-0.349458006924882,1.91148174602546,-0.349458006924882
72,0.3,98.5074626865672,0.3,0.985074626865672,29.9475,,197.209375,4.48203125,1.27930105608677,12.7930105608677,,0.00300902708124373,4.67463787207475,,,,,0.705070129305512,4.48203125,,18.2676853129129,13.9282067972879,8.08048521763393,6.16097043526786,2.08945192241734,-0.349458006924882,1.81823430333042,-0.349458006924882
84,0.4,98.0099502487562,0.35,0.982587064676617,32.5875,,229.796875,5.22265625,1.4906968031968,14.906968031968,,0.00401606425702811,4.38494525006994,,,,,0.661376132028002,5.22265625,,17.5270603129129,12.4469567972879,7.7528788864651,5.50575777293019,2.04806424360895,-0.413432566131256,1.70579441245995,-0.413432566131256
95,0.5,97.5124378109453,0.45,0.977611940298507,29.720625,,259.5175,5.898125,1.68349507635222,16.8349507635222,,0.0050251256281407,4.15978811695862,,,,,0.627415946597338,5.898125,,16.8515915629129,12.2541585241325,7.45409361860795,5.42047583547989,2.00876336049094,-0.46614556659393,1.69018360412198,-0.46614556659393
107,0.6,97.0149253731343,0.55,0.972636815920398,32.2575,,291.775,6.63125,1.89275010703582,18.9275010703582,,0.00603621730382294,3.97544993798696,,,,,0.599612435985338,6.63125,,16.1184665629129,12.0449034934489,7.12980481990666,5.32791445437491,1.96428385956437,-0.511471772499566,1.67295987724863,-0.511471772499566
